state,statecode,year,accountability,veto,alliance,gini_disp,ed,CP
Finland,FIN,2005,0.97,1,0,25.4,11.75,0
France,FRN,2005,0.953,1,1,28.2,12.15,1
Georgia,GRG,2005,0.788,1,0,38.1,10.787,1
Germany,GMY,2005,0.98,1,1,28.3,12.935,0
Ghana,GHA,2005,0.924,0,0,42.8,5.45,1
Greece,GRC,2005,0.955,0,1,32.8,10.285,0
Guatemala,GUA,2005,0.806,1,0,48.4,5.21,0
Honduras,HON,2005,0.719,1,0,52.2,5.61,0
Hungary,HUN,2005,0.933,1,1,27.6,10.97,0
Iceland,ICE,2005,0.943,0,1,29.1,10.995,0
India,IND,2005,0.907,0,0,47.6,4.675,1
Iran,IRN,2005,0.439,0,0,40.8,5.885,1
Ireland,IRE,2005,0.951,1,0,31.3,10.42,0
Israel,ISR,2005,0.924,0,0,36.5,10.605,0
Italy,ITA,2005,0.954,1,1,32.9,10.615,0
Jamaica,JAM,2005,0.909,1,0,41.7,8.88,0
Japan,JPN,2005,0.944,0,0,30.5,12.92,1
Jordan,JOR,2005,0.597,0,0,37.3,8.599,0
Kazakhstan,KZK,2005,0.388,1,0,28.4,11.346,0
Kenya,KEN,2005,0.797,0,0,46.4,6.27,1
Korea,KOR,2005,0.947,1,0,31,12.56,0
Kyrgyzstan,KYR,2005,0.528,1,0,35.1,10.206,1
Laos,LAO,2005,0.135,1,0,35.8,5.023,0
Latvia,LAT,2005,0.923,1,1,35.2,10.618,0
Lesotho,LES,2005,0.821,0,0,51,5.958,0
Lithuania,LIT,2005,0.942,1,1,33.4,10.888,0
Malawi,MAW,2005,0.774,0,0,46,4.392,0
Malaysia,MAL,2005,0.533,1,0,41.7,9.29,1
Malta,MLT,2005,0.887,0,0,27.6,0,0
Mauritania,MAA,2005,0.545,0,0,40.5,3.933,0
Mauritius,MAS,2005,0.94,0,0,37.9,7.53,0
Mexico,MEX,2005,0.864,1,0,47,8.255,0
Moldova,MLD,2005,0.708,1,0,37.6,9.824,0
Mongolia,MON,2005,0.892,1,0,34.6,0,0
Morocco,MOR,2005,0.659,0,0,41.3,4.045,0
Mozambique,MZM,2005,0.734,0,0,45.5,2.535,0
Namibia,NAM,2005,0.87,1,0,66.7,6.01,0
Netherlands,NTH,2005,0.956,1,1,26.4,11.405,0
New Zealand,NEW,2005,0.961,0,0,32.3,12.225,0
Nicaragua,NIC,2005,0.807,1,0,45.9,6.75,0
Niger,NIR,2005,0.803,1,0,39.8,1.17,0
Nigeria,NIG,2005,0.776,0,0,43.5,4.235,1
Norway,NOR,2005,0.972,0,1,26.2,12.505,1
Pakistan,PAK,2005,0.633,0,0,34.3,5.095,1
Panama,PAN,2005,0.891,1,0,49.6,8.845,0
Paraguay,PAR,2005,0.807,1,0,49.5,6.87,0
Peru,PER,2005,0.908,1,0,52,8.605,0
Philippines,PHI,2005,0.795,1,0,42.3,8.1,0
Poland,POL,2005,0.959,1,1,31.9,9.252,0
Portugal,POR,2005,0.963,1,1,34.1,7.58,1
Romania,ROM,2005,0.851,1,1,31.9,10.072,0
Russia,RUS,2005,0.53,0,0,36.9,9.51,1
Rwanda,RWA,2005,0.368,0,0,51.5,3.126,0
Serbia,0,2005,0.873,1,0,42.2,0,0
Seychelles,SEY,2005,0.691,0,0,34,10.124,0
Sierra Leone,SIE,2005,0.789,0,0,44.2,3.81,0
Singapore,SIN,2005,0.574,1,0,37.2,9.896,0
Slovakia,SLO,2005,0.932,1,1,37.5,10.894,0
South Africa,SAF,2005,0.929,0,0,60.4,7.66,0
Spain,SPN,2005,0.962,1,1,29.9,9.88,0
Sri Lanka,SRI,2005,0.659,1,0,42.4,7.181,0
Sudan,SUD,2005,0.298,1,0,40.4,0,1
Sweden,SWD,2005,0.974,1,0,21.4,11.69,0
Switzerland,SWZ,2005,0.964,0,0,30.7,12.665,0
Taiwan,TAW,2005,0.916,1,0,30.4,0,1
Tajikistan,TAJ,2005,0.309,1,0,42.4,9.438,1
Tanzania,TAZ,2005,0.81,1,0,43.8,3.523,0
Thailand,THI,2005,0.787,1,0,42.8,7.76,1
Tunisia,TUN,2005,0.24,1,0,40.7,5.839,0
Turkey,TUR,2005,0.836,1,1,41.2,6.525,1
Uganda,UGA,2005,0.609,1,0,45,3.935,1
Ukraine,UKR,2005,0.724,1,0,28.7,11.195,1
United Kingdom,UKG,2005,0.957,0,1,33.9,13.185,0
United States of America,USA,2005,0.962,1,1,38.2,13.31,1
Uruguay,URU,2005,0.96,1,0,42.1,8.54,0
Venezuela,VEN,2005,0.559,0,0,41,6.53,0
Vietnam,DRV,2005,0.375,1,0,34.4,5.876,0
Yemen,YEM,2005,0.517,1,0,36.9,0,1
Zambia,ZAM,2005,0.828,1,0,54.9,6.149,0
Zimbabwe,ZIM,2005,0.407,0,0,48,7.591,0
Angola,ANG,2006,0.386,0,0,50,2.744,0
Argentina,ARG,2006,0.913,1,0,43.1,8.61,0
Armenia,ARM,2006,0.587,1,0,37,10.732,1
Australia,AUL,2006,0.969,0,0,32.1,13.08,0
Austria,AUS,2006,0.969,0,0,27.4,13.08,0
Belarus,BLR,2006,0.238,1,0,24.3,10.067,0
Belgium,BEL,2006,0.951,0,1,26.4,11.066,0
Bolivia,BOL,2006,0.854,1,0,50.7,8.036,0
Botswana,BOT,2006,0.899,0,0,58.7,9.578,0
Brazil,BRA,2006,0.957,1,0,50.2,7.9,0
Bulgaria,BUL,2006,0.905,1,1,33.3,11.016,0
Burkina Faso,BFO,2006,0.814,1,0,44.5,1.211,0
Cameroon,CAO,2006,0.549,0,0,44.8,4.924,0
Canada,CAN,2006,0.941,0,1,31,12.984,0
Chile,CHL,2006,0.969,1,0,48.1,10.196,0
China,CHN,2006,0.204,1,0,42.4,7.366,0
Colombia,COL,2006,0.823,0,0,53.4,7.345,1
Costa Rica,COS,2006,0.974,1,0,45.1,7.256,0
Croatia,CRO,2006,0.891,1,0,54.8,0,0
Cyprus,CYP,2006,0.928,0,0,28.4,8.978,0
Czech Republic,CZR,2006,0.959,1,1,29.6,11.049,0
Denmark,DEN,2006,0.979,1,1,24.2,12.05,0
Djibouti,DJI,2006,0.385,1,0,42.5,0,0
Dominican Republic,DOM,2006,0.794,0,0,47.8,6.376,0
Ecuador,ECU,2006,0.845,0,0,47.8,8.351,1
Egypt,EGY,2006,0.363,1,0,41,7.364,1
El Salvador,SAL,2006,0.781,1,0,43.5,5.654,0
Estonia,EST,2006,0.957,1,1,33.1,11.378,0
Ethiopia,ETH,2006,0.368,1,0,32.9,0,1
Finland,FIN,2006,0.972,1,0,25.6,11.806,0
France,FRN,2006,0.952,1,1,28.4,12.212,0
Georgia,GRG,2006,0.787,1,0,38.4,10.81,0
Germany,GMY,2006,0.98,1,1,28.6,12.944,0
Ghana,GHA,2006,0.924,0,0,42.9,5.482,0
Greece,GRC,2006,0.954,0,1,32.7,10.368,1
Guatemala,GUA,2006,0.804,1,0,48.3,5.268,0
Honduras,HON,2006,0.73,1,0,51.8,5.646,0
Hungary,HUN,2006,0.922,1,1,27.3,11.014,0
Iceland,ICE,2006,0.943,0,1,29.2,11.074,0
India,IND,2006,0.907,0,0,47.8,4.708,0
Iran,IRN,2006,0.405,0,0,40.5,5.958,1
Ireland,IRE,2006,0.951,1,0,31,10.474,0
Israel,ISR,2006,0.923,0,0,36.6,10.628,1
Italy,ITA,2006,0.96,1,1,32.7,10.682,0
Jamaica,JAM,2006,0.911,1,0,41.5,8.92,0
Japan,JPN,2006,0.945,0,0,30.6,12.966,1
Jordan,JOR,2006,0.609,0,0,37.1,8.714,0
Kazakhstan,KZK,2006,0.387,1,0,28,11.427,0
Kenya,KEN,2006,0.795,0,0,46.3,6.308,1
Korea,KOR,2006,0.948,1,0,31,12.648,0
Kyrgyzstan,KYR,2006,0.538,1,0,35.1,10.213,1
Laos,LAO,2006,0.132,1,0,36,5.123,0
Latvia,LAT,2006,0.913,1,1,35.3,10.698,0
Lesotho,LES,2006,0.822,0,0,50.9,6.084,0
Lithuania,LIT,2006,0.941,1,1,33.1,11.027,0
Malawi,MAW,2006,0.778,0,0,46,4.468,0
Malaysia,MAL,2006,0.535,1,0,41.6,9.358,1
Malta,MLT,2006,0.888,0,0,27.5,0,0
Mauritania,MAA,2006,0.72,0,0,40.2,4.044,0
Mauritius,MAS,2006,0.94,0,0,37.9,7.59,0
Mexico,MEX,2006,0.837,1,0,46.4,8.3,0
Moldova,MLD,2006,0.708,1,0,37.3,9.856,0
Mongolia,MON,2006,0.897,1,0,34.7,0,0
Morocco,MOR,2006,0.66,0,0,41.3,4.114,0
Mozambique,MZM,2006,0.732,0,0,45.6,2.564,0
Namibia,NAM,2006,0.869,1,0,66.6,6.033,0
Netherlands,NTH,2006,0.961,1,1,26.6,11.43,0
New Zealand,NEW,2006,0.961,0,0,32.2,12.246,0
Nicaragua,NIC,2006,0.752,1,0,45.3,6.81,0
Niger,NIR,2006,0.808,1,0,39.5,1.198,0
Nigeria,NIG,2006,0.777,0,0,43.6,4.284,0
Norway,NOR,2006,0.971,0,1,25.3,12.524,0
Pakistan,PAK,2006,0.629,0,0,34.3,5.27,1
Panama,PAN,2006,0.89,1,0,49.2,8.888,0
Paraguay,PAR,2006,0.806,1,0,49.2,6.91,0
Peru,PER,2006,0.921,1,0,51.5,8.658,0
Philippines,PHI,2006,0.794,1,0,42.3,8.128,0
Poland,POL,2006,0.955,1,1,31.6,9.341,0
Portugal,POR,2006,0.963,1,1,34.1,7.628,0
Romania,ROM,2006,0.85,1,1,32.8,10.129,0
Russia,RUS,2006,0.531,0,0,36.8,9.53,1
Rwanda,RWA,2006,0.37,0,0,51.4,3.197,1
Serbia,0,2006,0.873,1,0,42,0,0
Seychelles,SEY,2006,0.707,0,0,33.6,10.181,0
Sierra Leone,SIE,2006,0.788,0,0,44.2,3.846,0
Singapore,SIN,2006,0.583,1,0,37.3,10.023,0
Slovakia,SLO,2006,0.926,1,1,18.1,10.951,0
South Africa,SAF,2006,0.928,0,0,60.5,7.704,0
Spain,SPN,2006,0.962,1,1,29.4,9.956,0
Sri Lanka,SRI,2006,0.632,1,0,42.6,7.229,0
Sudan,SUD,2006,0.305,1,0,40.4,0,1
Sweden,SWD,2006,0.975,1,0,21.6,11.722,0
Switzerland,SWZ,2006,0.965,0,0,30.7,12.674,0
Taiwan,TAW,2006,0.916,1,0,30.4,0,0
Tajikistan,TAJ,2006,0.301,1,0,42.5,9.421,1
Tanzania,TAZ,2006,0.812,1,0,44,3.547,0
Thailand,THI,2006,0.691,1,0,42.6,7.79,1
Tunisia,TUN,2006,0.238,1,0,40.5,5.937,0
Turkey,TUR,2006,0.837,1,1,40.9,6.57,1
Uganda,UGA,2006,0.642,1,0,45,4.056,1
Ukraine,UKR,2006,0.816,1,0,28.4,11.258,0
United Kingdom,UKG,2006,0.957,0,1,33.9,13.208,0
United States of America,USA,2006,0.97,1,1,38.5,13.37,1
Uruguay,URU,2006,0.96,1,0,42.1,8.574,0
Venezuela,VEN,2006,0.535,0,0,40.1,6.55,1
Vietnam,DRV,2006,0.379,1,0,34.4,6.007,0
Yemen,YEM,2006,0.521,1,0,37,0,0
Zambia,ZAM,2006,0.833,1,0,55.1,6.19,0
Zimbabwe,ZIM,2006,0.411,0,0,48,7.656,0
Angola,ANG,2007,0.387,0,0,49.8,2.803,0
Argentina,ARG,2007,0.912,1,0,42.1,8.65,0
Armenia,ARM,2007,0.6,1,0,36.7,10.753,0
Australia,AUL,2007,0.972,0,0,32.5,13.095,0
Austria,AUS,2007,0.972,0,0,27.8,13.095,0
Belarus,BLR,2007,0.234,1,0,24.3,10.101,0
Belgium,BEL,2007,0.956,0,1,26.5,11.122,0
Bolivia,BOL,2007,0.853,1,0,49.5,8.094,0
Botswana,BOT,2007,0.899,0,0,58.7,9.656,0
Brazil,BRA,2007,0.956,1,0,49.2,7.96,0
Bulgaria,BUL,2007,0.904,1,1,33.5,11.082,0
Burkina Faso,BFO,2007,0.812,1,0,44.1,1.265,0
Cameroon,CAO,2007,0.547,0,0,44.9,4.968,0
Canada,CAN,2007,0.94,0,1,31.2,13.008,0
Chile,CHL,2007,0.97,1,0,47.8,10.237,0
China,CHN,2007,0.205,1,0,42.7,7.446,1
Colombia,COL,2007,0.826,0,0,54.3,7.41,1
Costa Rica,COS,2007,0.975,1,0,45.3,7.317,0
Croatia,CRO,2007,0.896,1,0,54.9,0,0
Cyprus,CYP,2007,0.928,0,0,28.8,9.064,0
Czech Republic,CZR,2007,0.959,1,1,29.7,11.099,0
Denmark,DEN,2007,0.979,1,1,24.2,12.055,0
Djibouti,DJI,2007,0.389,1,0,42.6,0,0
Dominican Republic,DOM,2007,0.799,0,0,47.3,6.447,0
Ecuador,ECU,2007,0.809,0,0,47.1,8.408,1
Egypt,EGY,2007,0.364,1,0,41.1,7.453,0
El Salvador,SAL,2007,0.778,1,0,43,5.723,0
Estonia,EST,2007,0.957,1,1,32.3,11.397,0
Ethiopia,ETH,2007,0.373,1,0,32.9,0,1
Finland,FIN,2007,0.973,1,0,25.7,11.862,1
France,FRN,2007,0.955,1,1,28.8,12.274,0
Georgia,GRG,2007,0.77,1,0,38.9,10.833,1
Germany,GMY,2007,0.98,1,1,28.7,12.953,0
Ghana,GHA,2007,0.927,0,0,43,5.514,0
Greece,GRC,2007,0.96,0,1,32.6,10.451,1
Guatemala,GUA,2007,0.82,1,0,48.1,5.326,0
Honduras,HON,2007,0.733,1,0,51.3,5.682,0
Hungary,HUN,2007,0.932,1,1,27,11.058,0
Iceland,ICE,2007,0.95,0,1,28.7,11.152,0
India,IND,2007,0.908,0,0,48,4.741,1
Iran,IRN,2007,0.406,0,0,40.1,6.031,1
Ireland,IRE,2007,0.954,1,0,30.8,10.528,0
Israel,ISR,2007,0.923,0,0,36.7,10.65,1
Italy,ITA,2007,0.963,1,1,32.6,10.749,0
Jamaica,JAM,2007,0.919,1,0,41.3,8.96,0
Japan,JPN,2007,0.944,0,0,30.8,13.012,1
Jordan,JOR,2007,0.602,0,0,36.9,8.83,0
Kazakhstan,KZK,2007,0.389,1,0,27.7,11.507,0
Kenya,KEN,2007,0.762,0,0,46.1,6.346,0
Korea,KOR,2007,0.949,1,0,31.3,12.736,0
Kyrgyzstan,KYR,2007,0.517,1,0,34.8,10.22,0
Laos,LAO,2007,0.131,1,0,36.1,5.223,0
Latvia,LAT,2007,0.915,1,1,35.5,10.777,0
Lesotho,LES,2007,0.793,0,0,50.8,6.21,0
Lithuania,LIT,2007,0.941,1,1,33.3,11.166,0
Malawi,MAW,2007,0.781,0,0,45.9,4.543,0
Malaysia,MAL,2007,0.535,1,0,41.4,9.426,0
Malta,MLT,2007,0.885,0,0,27.5,0,0
Mauritania,MAA,2007,0.77,1,0,39.9,4.154,0
Mauritius,MAS,2007,0.94,0,0,38,7.65,0
Mexico,MEX,2007,0.833,1,0,46.4,8.345,0
Moldova,MLD,2007,0.706,1,0,37.1,9.889,0
Mongolia,MON,2007,0.898,1,0,34.7,0,0
Morocco,MOR,2007,0.648,0,0,41.3,4.183,0
Mozambique,MZM,2007,0.734,0,0,45.7,2.593,0
Namibia,NAM,2007,0.868,1,0,66.5,6.056,0
Netherlands,NTH,2007,0.961,1,1,26.7,11.455,0
New Zealand,NEW,2007,0.961,0,0,32.1,12.267,0
Nicaragua,NIC,2007,0.662,1,0,44.6,6.87,0
Niger,NIR,2007,0.809,1,0,39.2,1.226,0
Nigeria,NIG,2007,0.77,0,0,43.5,4.333,0
Norway,NOR,2007,0.972,0,1,24.7,12.543,0
Pakistan,PAK,2007,0.621,0,0,34.3,5.445,1
Panama,PAN,2007,0.89,1,0,48.7,8.931,0
Paraguay,PAR,2007,0.811,1,0,48.6,6.95,0
Peru,PER,2007,0.912,1,0,50.5,8.711,0
Philippines,PHI,2007,0.807,1,0,42.2,8.156,0
Poland,POL,2007,0.952,1,1,31.3,9.43,0
Portugal,POR,2007,0.964,1,1,33.9,7.676,0
Romania,ROM,2007,0.851,1,1,33,10.186,0
Russia,RUS,2007,0.504,0,0,36.4,9.55,1
Rwanda,RWA,2007,0.372,0,0,51.4,3.267,0
Serbia,0,2007,0.877,1,0,42,0,0
Seychelles,SEY,2007,0.71,0,0,33.5,10.237,0
Sierra Leone,SIE,2007,0.78,0,0,44.3,3.882,0
Singapore,SIN,2007,0.58,1,0,37.5,10.15,0
Slovakia,SLO,2007,0.928,1,1,17.5,11.007,0
South Africa,SAF,2007,0.929,0,0,60.6,7.748,0
Spain,SPN,2007,0.962,1,1,29.2,10.032,0
Sri Lanka,SRI,2007,0.63,1,0,42.8,7.277,0
Sudan,SUD,2007,0.302,1,0,40.3,0,1
Sweden,SWD,2007,0.975,1,0,22,11.754,0
Switzerland,SWZ,2007,0.967,0,0,30.6,12.683,0
Taiwan,TAW,2007,0.916,1,0,30.6,0,1
Tajikistan,TAJ,2007,0.297,1,0,42.6,9.404,0
Tanzania,TAZ,2007,0.813,1,0,44.2,3.572,0
Thailand,THI,2007,0.627,1,0,42.3,7.82,1
Tunisia,TUN,2007,0.241,1,0,40.3,6.036,0
Turkey,TUR,2007,0.81,1,1,40.5,6.615,1
Uganda,UGA,2007,0.647,1,0,45,4.177,1
Ukraine,UKR,2007,0.824,1,0,28,11.322,0
United Kingdom,UKG,2007,0.957,0,1,34.1,13.231,0
United States of America,USA,2007,0.97,1,1,38.1,13.43,1
Uruguay,URU,2007,0.961,1,0,42.3,8.608,0
Venezuela,VEN,2007,0.525,0,0,39.2,6.57,0
Vietnam,DRV,2007,0.377,1,0,34.5,6.138,0
Yemen,YEM,2007,0.519,1,0,37,0,0
Zambia,ZAM,2007,0.829,1,0,55.2,6.231,0
Zimbabwe,ZIM,2007,0.41,0,0,48,7.722,0
Angola,ANG,2008,0.424,0,0,49.7,2.862,0
Argentina,ARG,2008,0.907,1,0,41.3,8.69,0
Armenia,ARM,2008,0.541,1,0,36.2,10.775,0
Australia,AUL,2008,0.972,0,0,32.8,13.11,0
Austria,AUS,2008,0.972,0,0,27.9,13.11,0
Belarus,BLR,2008,0.244,1,0,24.3,10.136,0
Belgium,BEL,2008,0.958,0,1,26.2,11.178,0
Bolivia,BOL,2008,0.853,1,0,47.9,8.152,0
Botswana,BOT,2008,0.897,0,0,58.8,9.734,0
Brazil,BRA,2008,0.956,1,0,48.4,8.02,0
Bulgaria,BUL,2008,0.904,1,1,33.5,11.148,1
Burkina Faso,BFO,2008,0.811,1,0,43.8,1.319,0
Cameroon,CAO,2008,0.552,0,0,44.9,5.012,0
Canada,CAN,2008,0.938,0,1,31.1,13.032,0
Chile,CHL,2008,0.97,1,0,47.6,10.278,0
China,CHN,2008,0.205,1,0,42.9,7.527,0
Colombia,COL,2008,0.834,0,0,53.2,7.475,1
Costa Rica,COS,2008,0.974,1,0,45.4,7.378,0
Croatia,CRO,2008,0.897,1,0,55,0,0
Cyprus,CYP,2008,0.929,0,0,29.1,9.151,0
Czech Republic,CZR,2008,0.958,1,1,29.8,11.148,0
Denmark,DEN,2008,0.979,1,1,24.5,12.06,0
Djibouti,DJI,2008,0.386,1,0,42.7,0,1
Dominican Republic,DOM,2008,0.795,0,0,46.5,6.518,0
Ecuador,ECU,2008,0.76,0,0,46.1,8.465,1
Egypt,EGY,2008,0.363,1,0,41.1,7.542,0
El Salvador,SAL,2008,0.779,1,0,42.5,5.792,0
Estonia,EST,2008,0.957,1,1,32,11.417,0
Ethiopia,ETH,2008,0.372,1,0,32.9,0,1
Finland,FIN,2008,0.973,1,0,25.3,11.918,0
France,FRN,2008,0.958,1,1,29.1,12.336,0
Georgia,GRG,2008,0.753,1,0,39.3,10.856,0
Germany,GMY,2008,0.98,1,1,28.7,12.962,0
Ghana,GHA,2008,0.933,0,0,43.1,5.546,0
Greece,GRC,2008,0.96,0,1,32.4,10.534,0
Guatemala,GUA,2008,0.82,1,0,47.9,5.384,0
Honduras,HON,2008,0.738,1,0,50.6,5.718,0
Hungary,HUN,2008,0.935,1,1,26.8,11.102,0
Iceland,ICE,2008,0.95,0,1,28.4,11.231,0
India,IND,2008,0.907,0,0,48.3,4.774,1
Iran,IRN,2008,0.384,0,0,39.7,6.104,1
Ireland,IRE,2008,0.955,1,0,30.5,10.582,0
Israel,ISR,2008,0.923,0,0,36.7,10.672,0
Italy,ITA,2008,0.956,1,1,32.6,10.816,0
Jamaica,JAM,2008,0.919,1,0,41.2,9,0
Japan,JPN,2008,0.944,0,0,31.4,13.058,1
Jordan,JOR,2008,0.609,0,0,36.6,8.946,0
Kazakhstan,KZK,2008,0.386,1,0,27.2,11.587,0
Kenya,KEN,2008,0.764,0,0,46.1,6.384,1
Korea,KOR,2008,0.912,1,0,31.4,12.824,0
Kyrgyzstan,KYR,2008,0.49,1,0,34.4,10.228,0
Laos,LAO,2008,0.134,1,0,36.2,5.323,0
Latvia,LAT,2008,0.915,1,1,35.6,10.856,0
Lesotho,LES,2008,0.793,0,0,50.7,6.337,0
Lithuania,LIT,2008,0.947,1,1,33.8,11.305,0
Malawi,MAW,2008,0.78,0,0,45.9,4.619,0
Malaysia,MAL,2008,0.54,1,0,41.2,9.494,1
Malta,MLT,2008,0.897,0,0,27.4,0,0
Mauritania,MAA,2008,0.654,1,0,39.6,4.265,0
Mauritius,MAS,2008,0.939,0,0,38.1,7.709,0
Mexico,MEX,2008,0.836,1,0,46.4,8.39,0
Moldova,MLD,2008,0.707,1,0,36.6,9.921,0
Mongolia,MON,2008,0.893,1,0,34.7,0,0
Morocco,MOR,2008,0.654,0,0,41.3,4.252,0
Mozambique,MZM,2008,0.729,0,0,45.8,2.622,0
Namibia,NAM,2008,0.868,1,0,66.4,6.08,0
Netherlands,NTH,2008,0.961,1,1,26.5,11.48,0
New Zealand,NEW,2008,0.964,0,0,32,12.288,0
Nicaragua,NIC,2008,0.64,1,0,44,6.93,0
Niger,NIR,2008,0.804,1,0,38.9,1.254,0
Nigeria,NIG,2008,0.773,0,0,43.6,4.382,0
Norway,NOR,2008,0.971,0,1,24.7,12.562,1
Pakistan,PAK,2008,0.673,0,0,34.4,5.62,1
Panama,PAN,2008,0.89,1,0,48.3,8.974,0
Paraguay,PAR,2008,0.846,1,0,48,6.99,0
Peru,PER,2008,0.914,1,0,49.3,8.764,0
Philippines,PHI,2008,0.807,1,0,42.1,8.184,0
Poland,POL,2008,0.959,1,1,31.1,9.519,0
Portugal,POR,2008,0.963,1,1,33.7,7.724,0
Romania,ROM,2008,0.874,1,1,32.8,10.243,0
Russia,RUS,2008,0.5,0,0,36.6,9.57,1
Rwanda,RWA,2008,0.395,0,0,51.3,3.337,0
Serbia,0,2008,0.88,1,0,41.8,0,0
Seychelles,SEY,2008,0.712,0,0,33.5,10.293,0
Sierra Leone,SIE,2008,0.779,0,0,44.1,3.918,0
Singapore,SIN,2008,0.582,1,0,37.7,10.277,0
Slovakia,SLO,2008,0.927,1,1,17.5,11.064,0
South Africa,SAF,2008,0.929,0,0,60.6,7.792,0
Spain,SPN,2008,0.966,1,1,29.7,10.108,0
Sri Lanka,SRI,2008,0.627,1,0,43.1,7.325,1
Sudan,SUD,2008,0.311,1,0,40.3,0,1
Sweden,SWD,2008,0.976,1,0,22.4,11.786,0
Switzerland,SWZ,2008,0.967,0,0,30.6,12.692,0
Taiwan,TAW,2008,0.917,1,0,30.6,0,1
Tajikistan,TAJ,2008,0.292,1,0,42.6,9.387,0
Tanzania,TAZ,2008,0.818,1,0,44.3,3.596,0
Thailand,THI,2008,0.745,1,0,42,7.85,1
Tunisia,TUN,2008,0.242,1,0,40.1,6.134,0
Turkey,TUR,2008,0.792,1,1,40.3,6.66,1
Uganda,UGA,2008,0.645,1,0,45,4.298,0
Ukraine,UKR,2008,0.822,1,0,27.6,11.385,1
United Kingdom,UKG,2008,0.958,0,1,34.2,13.254,0
United States of America,USA,2008,0.971,1,1,38,13.49,1
Uruguay,URU,2008,0.961,1,0,41.4,8.642,0
Venezuela,VEN,2008,0.525,0,0,38.4,6.59,1
Vietnam,DRV,2008,0.38,1,0,34.6,6.269,0
Yemen,YEM,2008,0.526,1,0,37,0,0
Zambia,ZAM,2008,0.837,1,0,55.4,6.272,0
Zimbabwe,ZIM,2008,0.395,0,0,47.9,7.787,0
Angola,ANG,2009,0.434,0,0,49.6,2.921,1
Argentina,ARG,2009,0.903,1,0,40.7,8.73,0
Armenia,ARM,2009,0.575,1,0,35.9,10.796,0
Australia,AUL,2009,0.972,0,0,32.8,13.125,0
Austria,AUS,2009,0.972,0,0,28,13.125,0
Belarus,BLR,2009,0.246,1,0,24.2,10.17,0
Belgium,BEL,2009,0.958,0,1,26.2,11.234,0
Bolivia,BOL,2009,0.839,1,0,46.5,8.21,0
Botswana,BOT,2009,0.903,0,0,58.8,9.811,0
Brazil,BRA,2009,0.955,1,0,47.8,8.08,0
Bulgaria,BUL,2009,0.889,1,1,33.7,11.214,0
Burkina Faso,BFO,2009,0.812,1,0,43.4,1.374,0
Cameroon,CAO,2009,0.549,0,0,45,5.056,0
Canada,CAN,2009,0.939,0,1,31.1,13.056,0
Chile,CHL,2009,0.969,1,0,47.4,10.319,0
China,CHN,2009,0.206,1,0,43,7.607,1
Colombia,COL,2009,0.836,0,0,52.3,7.539,1
Costa Rica,COS,2009,0.974,1,0,45.7,7.439,0
Croatia,CRO,2009,0.916,1,1,55.1,0,0
Cyprus,CYP,2009,0.928,0,0,29.3,9.238,0
Czech Republic,CZR,2009,0.957,1,1,30,11.198,0
Denmark,DEN,2009,0.978,1,1,24.9,12.065,0
Djibouti,DJI,2009,0.384,1,0,42.8,0,0
Dominican Republic,DOM,2009,0.796,0,0,46.1,6.589,0
Ecuador,ECU,2009,0.732,0,0,45.1,8.522,1
Egypt,EGY,2009,0.36,1,0,41.4,7.631,1
El Salvador,SAL,2009,0.816,1,0,41.9,5.861,0
Estonia,EST,2009,0.959,1,1,32,11.436,0
Ethiopia,ETH,2009,0.369,1,0,33,0,0
Finland,FIN,2009,0.972,1,0,25.2,11.974,0
France,FRN,2009,0.958,1,1,29.3,12.398,1
Georgia,GRG,2009,0.751,1,0,39.7,10.879,0
Germany,GMY,2009,0.98,1,1,28.6,12.971,0
Ghana,GHA,2009,0.933,0,0,43.2,5.578,0
Greece,GRC,2009,0.959,0,1,32.5,10.617,0
Guatemala,GUA,2009,0.818,1,0,47.7,5.442,0
Honduras,HON,2009,0.648,1,0,49.8,5.754,0
Hungary,HUN,2009,0.936,1,1,27,11.146,0
Iceland,ICE,2009,0.951,0,1,27.2,11.31,0
India,IND,2009,0.905,0,0,48.5,4.807,1
Iran,IRN,2009,0.369,0,0,39.2,6.177,1
Ireland,IRE,2009,0.955,1,0,30.5,10.636,0
Israel,ISR,2009,0.922,0,0,36.8,10.694,1
Italy,ITA,2009,0.957,1,1,32.7,10.883,0
Jamaica,JAM,2009,0.918,1,0,41.1,9.04,0
Japan,JPN,2009,0.946,0,0,31.8,13.104,1
Jordan,JOR,2009,0.61,0,0,36.6,9.061,0
Kazakhstan,KZK,2009,0.388,1,0,26.9,11.668,0
Kenya,KEN,2009,0.771,0,0,46,6.422,1
Korea,KOR,2009,0.911,1,0,31.6,12.912,0
Kyrgyzstan,KYR,2009,0.478,1,0,34.1,10.235,0
Laos,LAO,2009,0.135,1,0,36.3,5.423,0
Latvia,LAT,2009,0.921,1,1,35.5,10.936,0
Lesotho,LES,2009,0.791,0,0,50.6,6.463,0
Lithuania,LIT,2009,0.947,1,1,33.9,11.444,0
Malawi,MAW,2009,0.809,0,0,45.9,4.694,0
Malaysia,MAL,2009,0.537,1,0,41.1,9.562,0
Malta,MLT,2009,0.903,0,0,27.4,0,0
Mauritania,MAA,2009,0.718,1,0,39.4,4.375,0
Mauritius,MAS,2009,0.939,0,0,38.1,7.769,0
Mexico,MEX,2009,0.838,1,0,46,8.435,0
